GUM,ALG,PVA,CMC,MassLoading,grade,water_retention,stress_at_25 (kPa)
0.2,0.6,0.0,0.2,15,B,0.56,2.46
0.2,0.6,0.0,0.2,20,A,0.65,2.76
0.2,0.6,0.2,0.0,10,B,0.15,1.48
0.2,0.6,0.2,0.0,15,B,0.66,3.33
0.2,0.6,0.2,0.0,20,A,0.62,7.62
0.2,0.8,0.0,0.0,10,B,0.57,0.52
0.2,0.8,0.0,0.0,15,A,0.62,4.95
0.2,0.8,0.0,0.0,20,A,0.7,4.15
0.4,0.0,0.0,0.6,10,B,0.43,0.21
0.4,0.0,0.0,0.6,15,C,0.63,0.28
0.4,0.0,0.0,0.6,20,A,0.58,1.04
0.4,0.0,0.2,0.4,10,C,0.31,0.23
0.4,0.0,0.2,0.4,15,A,0.69,0.73
0.4,0.0,0.2,0.4,20,A,0.64,1.65
0.4,0.0,0.4,0.2,10,B,0.19,0.56
0.4,0.0,0.4,0.2,15,A,0.65,1.49
0.4,0.0,0.4,0.2,20,A,0.69,2.75
0.4,0.0,0.6,0.0,10,B,0.41,0.72
0.4,0.0,0.6,0.0,15,B,0.55,1.82
0.4,0.0,0.6,0.0,20,B,0.62,1.8
0.4,0.2,0.0,0.4,10,B,0.45,0.33
0.4,0.2,0.0,0.4,15,B,0.56,0.88
0.4,0.2,0.0,0.4,20,A,0.63,1.07
0.4,0.2,0.2,0.2,10,A,0.55,0.58
0.4,0.2,0.2,0.2,15,A,0.69,2.35
0.4,0.2,0.2,0.2,20,A,0.76,3.44
0.4,0.2,0.4,0.0,10,A,0.51,1.27
0.4,0.2,0.4,0.0,15,B,0.63,2.96
0.4,0.2,0.4,0.0,20,A,0.75,3.35
0.4,0.4,0.0,0.2,10,A,0.57,0.36
0.4,0.4,0.0,0.2,15,B,0.63,1.89
0.4,0.4,0.0,0.2,20,A,0.71,3.08
0.4,0.4,0.2,0.0,10,A,0.64,1.93
0.4,0.4,0.2,0.0,15,A,0.67,6.01
0.4,0.4,0.2,0.0,20,A,0.69,8.04
0.4,0.6,0.0,0.0,10,A,0.65,1.27
0.4,0.6,0.0,0.0,15,A,0.77,6.7
0.4,0.6,0.0,0.0,20,A,0.78,7.54
0.6,0.0,0.0,0.4,10,B,0.25,0.17
0.6,0.0,0.0,0.4,15,A,0.64,1.11
0.6,0.0,0.0,0.4,20,A,0.67,2.14
0.6,0.0,0.2,0.2,10,B,0.05,0.57
0.6,0.0,0.2,0.2,15,A,0.69,1.22
0.6,0.0,0.2,0.2,20,A,0.76,3.83
0.6,0.0,0.4,0.0,10,B,0.17,0.55
0.6,0.0,0.4,0.0,15,A,0.73,1.72
0.6,0.0,0.4,0.0,20,A,0.82,3.68
0.6,0.2,0.0,0.2,10,A,0.65,0.15
0.6,0.2,0.0,0.2,15,A,0.74,1.68
0.6,0.2,0.0,0.2,20,A,0.79,4.27
0.6,0.2,0.2,0.0,10,B,0.52,1.36
0.6,0.2,0.2,0.0,15,A,0.79,3.08
0.6,0.2,0.2,0.0,20,A,0.8,6.12
0.6,0.4,0.0,0.0,10,A,0.58,1.88
0.6,0.4,0.0,0.0,15,A,0.75,6.41
0.6,0.4,0.0,0.0,20,A,0.79,6.71
0.8,0.0,0.0,0.2,10,A,0.51,0.55
0.8,0.0,0.0,0.2,15,A,0.74,2.2
0.8,0.0,0.0,0.2,20,A,0.78,2.86
0.8,0.0,0.2,0.0,10,A,0.57,0.52
0.8,0.0,0.2,0.0,15,A,0.71,2.23
0.8,0.0,0.2,0.0,20,A,0.81,4.82
0.8,0.2,0.0,0.0,10,A,0.73,2.32
0.8,0.2,0.0,0.0,15,A,0.83,5.19
0.8,0.2,0.0,0.0,20,A,0.79,5.99
1.0,0.0,0.0,0.0,10,A,0.65,1.13
1.0,0.0,0.0,0.0,15,A,0.71,2.49
1.0,0.0,0.0,0.0,20,A,0.79,6.44
